user,timestamp,tweet,lat,lon
@69Rikifriki,Tue Apr 15 02:22:51 +0000 2014,"Por hoy ya esta bien, vamos a dormir jiji",37.97980020000001,-1.0619698
@AlexLuna_72,Tue Apr 15 02:23:01 +0000 2014,Ahora mismo si tuviese una pistola me pegaba un tiro sin pensarlo.,37.97743793,-1.06300092
@Gissell_Tytta,Tue Apr 15 02:23:22 +0000 2014,Hola.   Visto 05:36.   Ms que Visto 05:38.   Ignorado 05:41.   No le importas 5:58.,,
@69Rikifriki,Tue Apr 15 02:23:32 +0000 2014,Buenas noches a todos... Fav ;) juju,37.97980020000001,-1.0619698
@Gissell_Tytta,Tue Apr 15 02:24:44 +0000 2014,JAJAJA,,
@AndreaGalian,Tue Apr 15 02:25:22 +0000 2014,Salimos para a corua :),38.0687894,-1.1922391
@Fran_pardotomas,Tue Apr 15 02:25:36 +0000 2014,No va desencaminado!! #MundialBrasil2014 http://t.co/yhDfeN3Z6k,37.97397479,-1.06830082
@Gissell_Tytta,Tue Apr 15 02:25:50 +0000 2014,@Maikykrmusic Te quiero mucho mucho mi vida &lt;3,,
@daniel_sotoo,Tue Apr 15 02:26:07 +0000 2014,Oh maana tengo Edu.Fisica,,
@69Rikifriki,Tue Apr 15 02:26:28 +0000 2014,"@AlexLuna_72 calla, alexis primo dejate las tonterias que todo pasa y vienen cosas mejores Buenas noches manico",37.97980020000001,-1.0619698
@whomaktub,Tue Apr 15 02:28:41 +0000 2014,@dayi_9926 fback cute acc,,
@69Rikifriki,Tue Apr 15 02:29:56 +0000 2014,Buenas noches gente ;) http://t.co/F6gjnYNMpi,37.9844578,-1.0823945
@Gissell_Tytta,Tue Apr 15 02:30:54 +0000 2014,Su Mirada &lt;3,,
@NileraaSiempre,Tue Apr 15 02:32:30 +0000 2014,"La cara de la vieja, jajajajajajajajaja",,
@daniel_sotoo,Tue Apr 15 02:33:01 +0000 2014,Uh es re temprano todava .!,,
@Gissell_Tytta,Tue Apr 15 02:33:30 +0000 2014,Eso si te gusta .....,,
@NileraaSiempre,Tue Apr 15 02:35:04 +0000 2014,"Me lleno de notificaciones la chabona, sal",,
@Official_Dito,Tue Apr 15 02:37:49 +0000 2014,Buena noche de entrenamiento musical... toca dormir ! Buenas noches a todos*,,
@NileraaSiempre,Tue Apr 15 02:40:41 +0000 2014,"O sea me tuve que sentar con Eliseo en taller, mala suerte la ma :p -.-",,
@NileraaSiempre,Tue Apr 15 02:50:46 +0000 2014,Nos tratamos tan bien con Sagardia :3,,
